"","date","cases","deaths"
"1",2020-01-02,1,0
"2",2020-01-23,1,0
"3",2020-01-28,2,0
"4",2020-01-29,2,0
"5",2020-01-31,4,0
"6",2020-02-01,1,0
"7",2020-02-03,1,0
"8",2020-02-04,4,0
"9",2020-02-05,1,0
"10",2020-02-06,1,0
"11",2020-02-07,1,0
"12",2020-02-11,2,0
"13",2020-02-17,1,0
"14",2020-02-18,1,0
"15",2020-02-20,2,1
"16",2020-02-24,1,0
"17",2020-02-25,3,0
"18",2020-02-26,7,0
"19",2020-02-27,23,0
"20",2020-02-28,47,0
"21",2020-02-29,23,0
"22",2020-03-01,35,0
"23",2020-03-02,41,0
"24",2020-03-03,84,0
"25",2020-03-04,157,2
"26",2020-03-05,186,1
"27",2020-03-06,186,4
"28",2020-03-07,142,4
"29",2020-03-08,103,1
"30",2020-03-09,345,7
"31",2020-03-10,596,4
"32",2020-03-11,755,10
"33",2020-03-12,991,12
"34",2020-03-13,1460,16
"35",2020-03-14,1303,20
"36",2020-03-15,981,15
"37",2020-03-16,2035,35
"38",2020-03-17,3026,44
"39",2020-03-18,3600,63
"40",2020-03-19,4057,64
"41",2020-03-20,4049,96
"42",2020-03-21,3357,95
"43",2020-03-22,2265,79
"44",2020-03-23,3730,131
"45",2020-03-24,4881,168
"46",2020-03-25,5677,217
"47",2020-03-26,5903,267
"48",2020-03-27,5980,264
"49",2020-03-28,4721,248
"50",2020-03-29,3076,166
"51",2020-03-30,4116,267
"52",2020-03-31,6059,382
"53",2020-04-01,6257,376
"54",2020-04-02,6546,417
"55",2020-04-03,6194,397
"56",2020-04-04,4343,245
"57",2020-04-05,2536,184
"58",2020-04-06,3659,291
"59",2020-04-07,5189,340
"60",2020-04-08,5273,342
"61",2020-04-09,4906,326
"62",2020-04-10,3354,208
"63",2020-04-11,2884,201
"64",2020-04-12,1864,167
"65",2020-04-13,1598,163
"66",2020-04-14,2463,218
"67",2020-04-15,3323,231
"68",2020-04-16,3416,191
"69",2020-04-17,3044,175
"70",2020-04-18,2106,123
"71",2020-04-19,1375,119
"72",2020-04-20,1710,150
"73",2020-04-21,2183,139
"74",2020-04-22,2488,126
"75",2020-04-23,2090,117
"76",2020-04-24,1903,84
"77",2020-04-25,1271,80
"78",2020-04-26,704,30
"79",2020-04-27,1117,75
"80",2020-04-28,1460,83
"81",2020-04-29,1430,58
"82",2020-04-30,1457,71
"83",2020-05-01,919,48
"84",2020-05-02,620,36
"85",2020-05-03,424,16
"86",2020-05-04,729,41
"87",2020-05-05,1089,45
"88",2020-05-06,1220,40
"89",2020-05-07,1198,49
"90",2020-05-08,979,45
"91",2020-05-09,678,23
"92",2020-05-10,341,14
"93",2020-05-11,684,26
"94",2020-05-12,854,32
"95",2020-05-13,909,27
"96",2020-05-14,808,20
"97",2020-05-15,727,31
"98",2020-05-16,459,20
"99",2020-05-17,316,8
"100",2020-05-18,542,23
"101",2020-05-19,728,27
"102",2020-05-20,829,23
"103",2020-05-21,419,7
"104",2020-05-22,525,16
"105",2020-05-23,337,11
"106",2020-05-24,218,5
"107",2020-05-25,412,13
"108",2020-05-26,617,15
"109",2020-05-27,648,12
"110",2020-05-28,529,9
"111",2020-05-29,445,8
"112",2020-05-30,374,4
"113",2020-05-31,179,3
"114",2020-06-01,137,5
"115",2020-06-02,306,8
"116",2020-06-03,496,11
"117",2020-06-04,528,7
"118",2020-06-05,437,5
"119",2020-06-06,285,5
"120",2020-06-07,164,4
"121",2020-06-08,295,3
"122",2020-06-09,425,1
"123",2020-06-10,518,10
"124",2020-06-11,281,1
"125",2020-06-12,352,11
"126",2020-06-13,299,1
"127",2020-06-14,172,6
"128",2020-06-15,259,4
"129",2020-06-16,518,11
"130",2020-06-17,862,7
"131",2020-06-18,763,3
"132",2020-06-19,997,9
"133",2020-06-20,569,4
"134",2020-06-21,222,3
"135",2020-06-22,443,1
"136",2020-06-23,541,7
"137",2020-06-24,506,2
"138",2020-06-25,565,5
"139",2020-06-26,574,7
"140",2020-06-27,325,2
"141",2020-06-28,201,0
"142",2020-06-29,415,4
"143",2020-06-30,457,1
"144",2020-07-01,482,5
"145",2020-07-02,472,4
"146",2020-07-03,426,6
"147",2020-07-04,292,2
"148",2020-07-05,142,4
"149",2020-07-06,324,6
"150",2020-07-07,391,4
"151",2020-07-08,450,6
"152",2020-07-09,424,5
"153",2020-07-10,425,3
"154",2020-07-11,276,0
"155",2020-07-12,131,1
"156",2020-07-13,326,5
"157",2020-07-14,465,2
"158",2020-07-15,540,6
"159",2020-07-16,553,7
"160",2020-07-17,522,6
"161",2020-07-18,440,0
"162",2020-07-19,179,4
"163",2020-07-20,453,4
"164",2020-07-21,522,4
"165",2020-07-22,700,9
"166",2020-07-23,694,3
"167",2020-07-24,806,10
"168",2020-07-25,542,3
"169",2020-07-26,211,0
"170",2020-07-27,527,7
"171",2020-07-28,756,5
"172",2020-07-29,910,5
"173",2020-07-30,860,5
"174",2020-07-31,914,13
"175",2020-08-01,562,1
"176",2020-08-02,305,1
"177",2020-08-03,798,9
"178",2020-08-04,948,6
"179",2020-08-05,1110,3
"180",2020-08-06,1166,6
"181",2020-08-07,1005,5
"182",2020-08-08,711,2
"183",2020-08-09,320,2
"184",2020-08-10,1103,2
"185",2020-08-11,1195,2
"186",2020-08-12,1541,10
"187",2020-08-13,1490,2
"188",2020-08-14,1375,6
"189",2020-08-15,756,4
"190",2020-08-16,492,5
"191",2020-08-17,1548,8
"192",2020-08-18,1533,10
"193",2020-08-19,1754,1
"194",2020-08-20,1621,7
"195",2020-08-21,1656,3
"196",2020-08-22,918,2
"197",2020-08-23,566,0
"198",2020-08-24,1427,5
"199",2020-08-25,1485,2
"200",2020-08-26,1615,2
"201",2020-08-27,1540,1
"202",2020-08-28,1391,3
"203",2020-08-29,833,2
"204",2020-08-30,536,3
"205",2020-08-31,1183,4
"206",2020-09-01,1317,3
"207",2020-09-02,1413,3
"208",2020-09-03,1518,7
"209",2020-09-04,1494,7
"210",2020-09-05,1105,8
"211",2020-09-06,582,4
"212",2020-09-07,1409,6
"213",2020-09-08,1377,19
"214",2020-09-09,1746,9
"215",2020-09-10,1591,6
"216",2020-09-11,1650,12
"217",2020-09-12,1224,8
"218",2020-09-13,762,8
"219",2020-09-14,1486,5
"220",2020-09-15,2004,16
"221",2020-09-16,2193,15
"222",2020-09-17,2355,9
"223",2020-09-18,2169,15
"224",2020-09-19,1392,12
"225",2020-09-20,691,10
"226",2020-09-21,1655,18
"227",2020-09-22,1813,15
"228",2020-09-23,2210,11
"229",2020-09-24,2393,18
"230",2020-09-25,2332,15
"231",2020-09-26,1787,26
"232",2020-09-27,873,7
"233",2020-09-28,1831,19
"234",2020-09-29,2166,15
"235",2020-09-30,2731,16
"236",2020-10-01,2925,26
"237",2020-10-02,2921,25
"238",2020-10-03,2196,12
"239",2020-10-04,1155,9
"240",2020-10-05,2409,34
"241",2020-10-06,3589,27
"242",2020-10-07,4487,35
"243",2020-10-08,4670,42
"244",2020-10-09,5059,44
"245",2020-10-10,3629,38
"246",2020-10-11,2272,25
"247",2020-10-12,4189,59
"248",2020-10-13,5368,56
"249",2020-10-14,7248,63
"250",2020-10-15,7911,81
"251",2020-10-16,7975,90
"252",2020-10-17,5690,60
"253",2020-10-18,3678,54
"254",2020-10-19,6485,87
"255",2020-10-20,9443,129
"256",2020-10-21,12412,144
"257",2020-10-22,13933,207
"258",2020-10-23,14037,199
"259",2020-10-24,11100,123
"260",2020-10-25,7456,126
"261",2020-10-26,12023,241
"262",2020-10-27,15945,237
"263",2020-10-28,19246,249
"264",2020-10-29,19853,269
"265",2020-10-30,19408,258
"266",2020-10-31,14006,195
"267",2020-11-01,10527,170
"268",2020-11-02,15255,278
"269",2020-11-03,19339,329
"270",2020-11-04,21201,314
"271",2020-11-05,22280,338
"272",2020-11-06,21583,253
"273",2020-11-07,15926,218
"274",2020-11-08,10145,163
"275",2020-11-09,15982,319
"276",2020-11-10,19620,344
"277",2020-11-11,22709,419
"278",2020-11-12,23495,429
"279",2020-11-13,21351,417
"280",2020-11-14,15794,371
"281",2020-11-15,8845,222
"282",2020-11-16,14693,446
"283",2020-11-17,20351,508
"284",2020-11-18,23688,533
"285",2020-11-19,23749,564
"286",2020-11-20,22287,528
"287",2020-11-21,14778,343
"288",2020-11-22,8832,283
"289",2020-11-23,15072,473
"290",2020-11-24,19407,507
"291",2020-11-25,22054,590
"292",2020-11-26,22764,655
"293",2020-11-27,20137,625
"294",2020-11-28,14939,402
"295",2020-11-29,8786,327
"296",2020-11-30,13294,537
"297",2020-12-01,19218,655
"298",2020-12-02,23201,734
"299",2020-12-03,24425,850
"300",2020-12-04,22254,809
"301",2020-12-05,15726,513
"302",2020-12-06,10239,359
"303",2020-12-07,16453,692
"304",2020-12-08,22788,860
"305",2020-12-09,27648,848
"306",2020-12-10,29034,1076
"307",2020-12-11,27253,976
"308",2020-12-12,20605,767
"309",2020-12-13,12505,516
"310",2020-12-14,19062,827
"311",2020-12-15,26933,1014
"312",2020-12-16,31364,1066
"313",2020-12-17,31973,1162
"314",2020-12-18,29769,1044
"315",2020-12-19,21703,771
"316",2020-12-20,13901,543
"317",2020-12-21,20295,921
"318",2020-12-22,28988,1198
"319",2020-12-23,33978,1249
"320",2020-12-24,21161,711
"321",2020-12-25,13168,508
"322",2020-12-26,11539,576
"323",2020-12-27,9809,527
"324",2020-12-28,15734,889
"325",2020-12-29,27582,1245
"326",2020-12-30,31059,1283
"327",2020-12-31,19589,776
"328",2021-01-01,10265,413
"329",2021-01-02,10003,583
"330",2021-01-03,8822,493
"331",2021-01-04,14288,772
"332",2021-01-05,27420,1035
"333",2021-01-06,27974,915
"334",2021-01-07,26106,1030
"335",2021-01-08,24527,926
"336",2021-01-09,16657,598
"337",2021-01-10,8466,423
"338",2021-01-11,13479,586
"339",2021-01-12,22581,893
"340",2021-01-13,24097,965
"341",2021-01-14,20393,943
"342",2021-01-15,18291,817
"343",2021-01-16,13439,537
"344",2021-01-17,6592,322
"345",2021-01-18,9154,535
"346",2021-01-19,18458,759
"347",2021-01-20,19485,767
"348",2021-01-21,16802,708
"349",2021-01-22,15023,630
"350",2021-01-23,11571,445
"351",2021-01-24,5019,213
"352",2021-01-25,6746,427
"353",2021-01-26,15510,576
"354",2021-01-27,15819,619
"355",2021-01-28,13352,476
"356",2021-01-29,12561,474
"357",2021-01-30,9939,305
"358",2021-01-31,4198,188
"359",2021-02-01,5859,314
"360",2021-02-02,12301,392
"361",2021-02-03,13413,444
"362",2021-02-04,11507,439
"363",2021-02-05,9998,311
"364",2021-02-06,8388,239
"365",2021-02-07,3087,101
"366",2021-02-08,4182,241
"367",2021-02-09,9092,304
"368",2021-02-10,10276,306
"369",2021-02-11,9358,304
"370",2021-02-12,8537,252
"371",2021-02-13,5596,161
"372",2021-02-14,3760,106
"373",2021-02-15,4385,192
"374",2021-02-16,9239,291
"375",2021-02-17,9998,273
"376",2021-02-18,9225,238
"377",2021-02-19,8718,220
"378",2021-02-20,7783,156
"379",2021-02-21,3038,97
"380",2021-02-22,4401,180
"381",2021-02-23,10183,219
"382",2021-02-24,11288,229
"383",2021-02-25,9914,199
"384",2021-02-26,9447,182
"385",2021-02-27,7656,131
"386",2021-02-28,3451,73
"387",2021-03-01,4679,161
"388",2021-03-02,10953,195
"389",2021-03-03,11303,169
"390",2021-03-04,10119,165
"391",2021-03-05,9659,140
"392",2021-03-06,8293,132
"393",2021-03-07,3362,82
"394",2021-03-08,4838,135
"395",2021-03-09,11495,178
"396",2021-03-10,13986,207
"397",2021-03-11,13146,196
"398",2021-03-12,12538,173
"399",2021-03-13,10475,125
"400",2021-03-14,4840,75
"401",2021-03-15,6824,146
"402",2021-03-16,15791,231
"403",2021-03-17,18362,215
"404",2021-03-18,16724,236
"405",2021-03-19,15707,196
"406",2021-03-20,13216,143
"407",2021-03-21,5957,106
"408",2021-03-22,8881,161
"409",2021-03-23,19449,272
"410",2021-03-24,22651,263
"411",2021-03-25,21891,255
"412",2021-03-26,20035,256
"413",2021-03-27,15777,195
"414",2021-03-28,7584,110
"415",2021-03-29,10991,234
"416",2021-03-30,20384,288
"417",2021-03-31,24004,302
"418",2021-04-01,21443,252
"419",2021-04-02,15493,199
"420",2021-04-03,10637,175
"421",2021-04-04,7149,125
"422",2021-04-05,7047,165
"423",2021-04-06,11510,263
"424",2021-04-07,23730,291
"425",2021-04-08,25764,279
"426",2021-04-09,23299,248
"427",2021-04-10,18063,213
"428",2021-04-11,8860,112
"429",2021-04-12,12110,198
"430",2021-04-13,26726,289
"431",2021-04-14,28551,309
"432",2021-04-15,25068,259
"433",2021-04-16,23080,234
"434",2021-04-17,17700,195
"435",2021-04-18,8821,128
"436",2021-04-19,12284,216
"437",2021-04-20,27948,299
"438",2021-04-21,29373,287
"439",2021-04-22,25463,277
"440",2021-04-23,22963,245
"441",2021-04-24,18036,182
"442",2021-04-25,8678,98
"443",2021-04-26,12198,208
"444",2021-04-27,25267,237
"445",2021-04-28,25004,225
"446",2021-04-29,21429,207
"447",2021-04-30,19160,181
"448",2021-05-01,15073,134
"449",2021-05-02,6663,95
"450",2021-05-03,9124,139
"451",2021-05-04,20977,205
"452",2021-05-05,20861,187
"453",2021-05-06,17168,148
"454",2021-05-07,15475,151
"455",2021-05-08,12046,96
"456",2021-05-09,5323,69
"457",2021-05-10,7387,102
"458",2021-05-11,16755,140
"459",2021-05-12,16476,129
"460",2021-05-13,9670,75
"461",2021-05-14,7631,85
"462",2021-05-15,8602,79
"463",2021-05-16,4280,48
"464",2021-05-17,5241,80
"465",2021-05-18,12322,88
"466",2021-05-19,11313,73
"467",2021-05-20,8426,61
"468",2021-05-21,7571,68
"469",2021-05-22,5815,45
"470",2021-05-23,1999,23
"471",2021-05-24,1803,23
"472",2021-05-25,3668,51
"473",2021-05-26,7146,61
"474",2021-05-27,6814,43
"475",2021-05-28,5157,35
"476",2021-05-29,3688,27
"477",2021-05-30,1604,17
"478",2021-05-31,2440,25
"479",2021-06-01,5105,25
"480",2021-06-02,4490,31
"481",2021-06-03,2937,19
"482",2021-06-04,2273,14
"483",2021-06-05,2307,16
"484",2021-06-06,1127,10
"485",2021-06-07,1711,12
"486",2021-06-08,3529,12
"487",2021-06-09,2864,10
"488",2021-06-10,2271,10
"489",2021-06-11,1842,11
"490",2021-06-12,1306,4
"491",2021-06-13,514,7
"492",2021-06-14,933,14
"493",2021-06-15,1702,10
"494",2021-06-16,1445,9
"495",2021-06-17,1152,7
"496",2021-06-18,1027,4
"497",2021-06-19,740,0
"498",2021-06-20,274,2
"499",2021-06-21,601,5
"500",2021-06-22,1057,9
"501",2021-06-23,902,3
"502",2021-06-24,822,5
"503",2021-06-25,737,6
"504",2021-06-26,485,0
"505",2021-06-27,222,2
"506",2021-06-28,512,4
"507",2021-06-29,897,6
"508",2021-06-30,860,1
"509",2021-07-01,706,5
"510",2021-07-02,666,3
"511",2021-07-03,508,2
"512",2021-07-04,209,2
"513",2021-07-05,550,2
"514",2021-07-06,1057,5
"515",2021-07-07,962,3
"516",2021-07-08,958,2
"517",2021-07-09,946,7
"518",2021-07-10,790,5
"519",2021-07-11,312,0
"520",2021-07-12,792,4
"521",2021-07-13,1767,6
"522",2021-07-14,1624,6
"523",2021-07-15,1517,2
"524",2021-07-16,1620,3
"525",2021-07-17,1283,5
"526",2021-07-18,497,3
"527",2021-07-19,1428,4
"528",2021-07-20,2334,8
"529",2021-07-21,2288,7
"530",2021-07-22,2222,5
"531",2021-07-23,2118,4
"532",2021-07-24,1592,10
"533",2021-07-25,639,1
"534",2021-07-26,1664,5
"535",2021-07-27,3096,7
"536",2021-07-28,2839,19
"537",2021-07-29,2633,10
"538",2021-07-30,2526,14
"539",2021-07-31,1962,7
"540",2021-08-01,784,6
"541",2021-08-02,2112,12
"542",2021-08-03,3755,11
"543",2021-08-04,3549,10
"544",2021-08-05,3534,16
"545",2021-08-06,3531,17
"546",2021-08-07,2793,14
"547",2021-08-08,1137,5
"548",2021-08-09,2925,18
"549",2021-08-10,5558,24
"550",2021-08-11,5646,21
"551",2021-08-12,5442,27
"552",2021-08-13,5790,18
"553",2021-08-14,4631,19
"554",2021-08-15,2073,13
"555",2021-08-16,4509,21
"556",2021-08-17,8919,36
"557",2021-08-18,8759,44
"558",2021-08-19,8672,36
"559",2021-08-20,8834,35
"560",2021-08-21,6828,27
"561",2021-08-22,3104,21
"562",2021-08-23,6564,48
"563",2021-08-24,12897,53
"564",2021-08-25,12721,59
"565",2021-08-26,11620,48
"566",2021-08-27,10391,52
"567",2021-08-28,8399,52
"568",2021-08-29,3750,29
"569",2021-08-30,7064,50
"570",2021-08-31,14572,75
"571",2021-09-01,14734,72
"572",2021-09-02,12717,74
"573",2021-09-03,12054,63
"574",2021-09-04,9482,55
"575",2021-09-05,4053,23
"576",2021-09-06,7001,66
"577",2021-09-07,15125,84
"578",2021-09-08,14157,59
"579",2021-09-09,12380,70
"580",2021-09-10,11142,69
"581",2021-09-11,8569,55
"582",2021-09-12,3286,24
"583",2021-09-13,6868,55
"584",2021-09-14,13387,68
"585",2021-09-15,12227,80
"586",2021-09-16,10264,50
"587",2021-09-17,8887,49
"588",2021-09-18,7040,36
"589",2021-09-19,2782,20
"590",2021-09-20,5419,57
"591",2021-09-21,11251,55
"592",2021-09-22,10452,56
"593",2021-09-23,9089,50
"594",2021-09-24,8404,55
"595",2021-09-25,6353,42
"596",2021-09-26,2640,24
"597",2021-09-27,5760,59
"598",2021-09-28,12642,65
"599",2021-09-29,11376,80
"600",2021-09-30,9501,61
"601",2021-10-01,8383,59
"602",2021-10-02,6151,46
"603",2021-10-03,2649,24
"604",2021-10-04,5659,54
"605",2021-10-05,12219,86
"606",2021-10-06,11105,91
"607",2021-10-07,10126,78
"608",2021-10-08,9211,67
"609",2021-10-09,7023,47
"610",2021-10-10,2637,31
"611",2021-10-11,6239,76
"612",2021-10-12,12639,93
"613",2021-10-13,12057,81
"614",2021-10-14,11318,86
"615",2021-10-15,11132,95
"616",2021-10-16,8490,49
"617",2021-10-17,3409,42
"618",2021-10-18,8091,129
"619",2021-10-19,19136,165
"620",2021-10-20,17961,141
"621",2021-10-21,17270,176
"622",2021-10-22,16662,155
"623",2021-10-23,13293,121
"624",2021-10-24,5172,48
"625",2021-10-25,11841,137
"626",2021-10-26,26354,181
"627",2021-10-27,27301,196
"628",2021-10-28,24335,209
"629",2021-10-29,22571,173
"630",2021-10-30,17086,124
"631",2021-10-31,7464,99
"632",2021-11-01,11463,128
"633",2021-11-02,24390,257
"634",2021-11-03,36119,279
"635",2021-11-04,36445,267
"636",2021-11-05,33742,222
"637",2021-11-06,23783,142
"638",2021-11-07,11872,116
"639",2021-11-08,24267,235
"640",2021-11-09,47208,330
"641",2021-11-10,50840,296
"642",2021-11-11,49794,315
"643",2021-11-12,45967,277
"644",2021-11-13,34033,202
"645",2021-11-14,19071,131
"646",2021-11-15,34538,249
"647",2021-11-16,63054,340
"648",2021-11-17,63137,339
"649",2021-11-18,61214,345
"650",2021-11-19,62469,294
"651",2021-11-20,42316,161
"652",2021-11-21,24790,138
"653",2021-11-22,46472,323
"654",2021-11-23,74502,340
"655",2021-11-24,75716,292
"656",2021-11-25,71851,265
"657",2021-11-26,64062,244
"658",2021-11-27,44938,182
"659",2021-11-28,25570,101
"660",2021-11-29,44290,196
"661",2021-11-30,73613,202
"662",2021-12-01,74037,166
"663",2021-12-02,68047,160
"664",2021-12-03,62450,142
"665",2021-12-04,42496,82
"666",2021-12-05,23090,54
"667",2021-12-06,42376,93
"668",2021-12-07,69232,81
"669",2021-12-08,67039,69
"670",2021-12-09,57294,45
"671",2021-12-10,50126,30
"672",2021-12-11,33661,12
"673",2021-12-12,14578,5
"674",2021-12-13,19465,11
